run_id,likelihood,seed,temperature,label_noise,_step,_runtime,_timestamp,csgld/test/acc,csgld/test/bma_ce_nll,csgld/test/total_loss,csgld/train/mini_loss,_wandb,csgld/train/epoch,csgld/test/bma_acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
ypj0438x,softmax,-3,1e-05,0.1,1000,20927,1643780747,0.8682,5993.78125,6088.98388671875,1311.639892578125,{'runtime': 20928},999,0.8841,0.0,350,
ubyoobsh,softmax,-3,0.001,0.1,1000,20849,1643780610,0.873,5847.056640625,6016.81298828125,1732.9163818359375,{'runtime': 20850},999,0.8889,0.0,350,
3txrwbzq,softmax,-3,0.01,0.1,1000,20935,1643780649,0.8638,5681.83740234375,5910.88232421875,3852.415771484375,{'runtime': 20936},999,0.886,0.0,350,
kef08jnf,softmax,-3,0.1,0.1,1000,20812,1643780395,0.8767,4281.71533203125,4349.32373046875,22032.650390625,{'runtime': 20813},999,0.8993,0.0,350,
ns7pds1g,softmax,-3,1.0,0.1,1000,20825,1643780405,0.7941,6499.2685546875,6431.0283203125,46331.9140625,{'runtime': 20825},999,0.8259,0.0,350,
r48z2rql,softmax,-2,10.0,0.1,1000,20903,1643780483,0.5275,13458.7099609375,13348.5419921875,88748.2421875,{'runtime': 20903},999,0.6187,0.0,350,
wndinask,softmax,-2,3.0,0.1,1000,20778,1643780358,0.6914,9064.2412109375,8970.2744140625,65284.6171875,{'runtime': 20779},999,0.7453,0.0,350,
ure2ggrn,softmax,-2,1e-05,0.1,1000,20759,1643780280,0.8677,5819.8798828125,6056.4228515625,1022.4688110351562,{'runtime': 20760},999,0.8836,0.0,350,
544a57zw,softmax,-2,0.0001,0.1,1000,17409,1643776880,0.8654,6083.03125,6136.93212890625,828.3760375976562,{'runtime': 17410},999,0.8793,0.0,350,
7pc6663m,softmax,-2,0.001,0.1,1000,17575,1643777045,0.8657,5906.0625,6017.8505859375,1446.8404541015625,{'runtime': 17576},999,0.8826,0.0,350,
20lx17yj,softmax,-2,0.01,0.1,1000,17786,1643774597,0.8606,5774.84130859375,6029.984375,5402.5654296875,{'runtime': 17787},999,0.8798,0.0,350,
wdynnzdf,softmax,-2,0.1,0.1,1000,17320,1643773667,0.8756,4341.44384765625,4391.96923828125,26455.369140625,{'runtime': 17321},999,0.8959,0.0,350,
4kk26rta,softmax,-2,1.0,0.1,1000,17171,1643773208,0.7978,6374.42919921875,6253.158203125,50769.26953125,{'runtime': 17173},999,0.8345,0.0,350,
wtlmgoxb,softmax,-1,10.0,0.1,1000,20897,1643760621,0.5273,13585.8212890625,13272.8232421875,85130.609375,{'runtime': 20897},999,0.6013,0.0,350,
zsw1mgra,softmax,-1,3.0,0.1,1000,20826,1643760430,0.6903,9071.767578125,9021.7392578125,64777.4765625,{'runtime': 20827},999,0.7465,0.0,350,
d1hnzvil,softmax,-1,1e-05,0.1,1000,21018,1643760617,0.8682,5805.0,5955.74072265625,1261.972412109375,{'runtime': 21018},999,0.8852,0.0,350,
0jmtl3k9,softmax,-1,0.0001,0.1,1000,20845,1643760386,0.8643,6060.21728515625,6238.0009765625,671.983154296875,{'runtime': 20846},999,0.8812,0.0,350,
qh9vl5wt,softmax,-1,0.01,0.1,1000,20891,1643760432,0.8567,5875.88134765625,6083.79638671875,1258.90966796875,{'runtime': 20892},999,0.881,0.0,350,
vvd6tyb0,softmax,-1,0.001,0.1,1000,20653,1643760194,0.8696,5904.35498046875,6033.71435546875,672.0702514648438,{'runtime': 20655},999,0.8831,0.0,350,
x6dlyab7,softmax,-1,0.1,0.1,1000,20774,1643760249,0.8737,4343.25244140625,4452.919921875,19628.306640625,{'runtime': 20776},999,0.8961,0.0,350,
w0ihr9hi,softmax,-1,1.0,0.1,1000,20937,1643760359,0.7964,6384.28759765625,6342.4736328125,61333.859375,{'runtime': 20939},999,0.8319,0.0,350,
8nugpund,softmax,-3,10.0,0.0,1000,17430,1643756780,0.5766,12381.2470703125,12431.109375,65206.5859375,{'runtime': 17431},999,0.6583,0.0,350,
4xf9owyh,softmax,-3,3.0,0.0,1000,20801,1643760102,0.7316,7932.322265625,7924.75048828125,39124.6015625,{'runtime': 20802},999,0.7838,0.0,350,
1bnno4gx,softmax,-3,1e-05,0.0,1000,20988,1643760167,0.9276,3535.4423828125,3547.521728515625,41.4312744140625,{'runtime': 20989},999,0.9315,0.0,350,
emqrp748,softmax,-3,0.0001,0.0,1000,20905,1643760084,0.9275,3614.683349609375,3645.810791015625,24.604415893554688,{'runtime': 20906},999,0.9314,0.0,350,
3i3xup9i,softmax,-3,0.001,0.0,1000,20917,1643760004,0.9274,3454.744384765625,3544.20947265625,173.33148193359375,{'runtime': 20918},999,0.9323,0.0,350,
47pcvucw,softmax,-3,0.01,0.0,1000,20779,1643759833,0.9214,3547.910888671875,3569.760009765625,281.567626953125,{'runtime': 20780},999,0.9287,0.0,350,
gfrchonb,softmax,-3,0.1,0.0,1000,20876,1643759927,0.9043,3652.78125,3620.426513671875,7526.04150390625,{'runtime': 20877},999,0.9149,0.0,350,
xmt2rf65,softmax,-3,1.0,0.0,1000,20871,1643759864,0.8239,5327.80224609375,5313.5712890625,21894.740234375,{'runtime': 20872},999,0.8571,0.0,350,
ihnpq306,softmax,-2,10.0,0.0,1000,17362,1643756316,0.5765,12503.14453125,12373.791015625,56161.96875,{'runtime': 17363},999,0.6528,0.0,350,
nprz0wmy,softmax,-2,3.0,0.0,1000,21061,1643759996,0.7388,7837.37646484375,7675.72509765625,36390.4375,{'runtime': 21062},999,0.7821,0.0,350,
pg20okwa,softmax,-2,1e-05,0.0,1000,20864,1643759799,0.9227,3601.035888671875,3691.316650390625,204.0330810546875,{'runtime': 20865},999,0.9278,0.0,350,
u0ltyhoq,softmax,-2,0.0001,0.0,1000,21015,1643759889,0.9273,3584.858154296875,3610.918212890625,23.542015075683594,{'runtime': 21017},999,0.9321,0.0,350,
mri8fw4l,softmax,-2,0.001,0.0,1000,20825,1643759697,0.9295,3484.716064453125,3527.775634765625,160.75057983398438,{'runtime': 20827},999,0.9325,0.0,350,
wwf6ca14,softmax,-2,0.01,0.0,1000,21036,1643759875,0.9222,3531.600830078125,3558.599609375,293.4110412597656,{'runtime': 21038},999,0.9287,0.0,350,
ib1ucf69,softmax,-2,0.1,0.0,1000,20936,1643759774,0.9045,3552.6337890625,3626.47412109375,1782.9246826171875,{'runtime': 20938},999,0.92,0.0,350,
bu49anaz,softmax,-2,1.0,0.0,1000,17190,1643756007,0.821,5325.3134765625,5373.5419921875,19332.203125,{'runtime': 17190},999,0.8599,0.0,350,
mhjh9ye6,softmax,-1,10.0,0.0,1000,20910,1643759666,0.5746,12436.359375,12290.337890625,67266.6015625,{'runtime': 20911},999,0.6595,0.0,350,
2r3yavp4,softmax,-1,3.0,0.0,1000,20818,1643759514,0.734,7903.646484375,7825.19677734375,39139.98828125,{'runtime': 20821},999,0.7813,0.0,350,
imbuzbe9,softmax,-1,1e-05,0.0,1000,20898,1643759532,0.9289,3596.74169921875,3679.214599609375,175.74342346191406,{'runtime': 20899},999,0.9298,0.0,350,
cobkdxhn,softmax,-1,0.001,0.0,1000,20812,1643759390,0.9311,3489.52587890625,3470.64892578125,381.2724914550781,{'runtime': 20814},999,0.9337,0.0,350,
fhdetp1u,softmax,-1,0.01,0.0,1000,20946,1643759524,0.9245,3484.58984375,3545.9443359375,506.3323669433594,{'runtime': 20947},999,0.9308,0.0,350,
j6ujbjqi,softmax,-1,0.0001,0.0,1000,20828,1643759406,0.926,3599.67333984375,3672.894287109375,49.48552322387695,{'runtime': 20829},999,0.9305,0.0,350,
jt0l41lw,softmax,-1,0.1,0.0,1000,20912,1643759490,0.9039,3556.174072265625,3522.881103515625,4931.1171875,{'runtime': 20913},999,0.9182,0.0,350,
